Product Name,Company,Export Country,Date,Units Sold,unit_price,Profit per unit,Export Value,Destination Port,Transportation Mode,Profit,Country,Latitude,Longitude
Cassava,Agro Export Nigeria Ltd,Denmark,2021-03-14,641,22151.23,9884.51,14198938.43,Port Harcourt,Sea,218954054.4473,Denmark,56.2563,9.568083
Rubber,Farmgate Nigeria Limited,Sweden,2021-06-27,393,23647.19,5405.19,9293345.67,Lagos,Sea,127817554.91609998,Sweden,59.334732,18.057936
Plantain,Nigeria Agro Export Company,Netherlands,2023-12-23,592,32644.13,7497.09,19325324.96,Lagos,Sea,244735980.58170003,Netherlands,52.377956,4.897976
Palm Oil,Agro Allied Exporters Nigeria Limited,Belgium,2022-08-24,194,24659.84,5943.96,4784008.96,Port Harcourt,Sea,146577102.5664,Belgium,50.508308,4.351728
Cocoa,Agriplus Nigeria Limited,Sweden,2022-06-02,438,43305.68,9195.72,18967887.84,Lagos,Sea,398226907.6896,Sweden,59.334732,18.057936
Sesame,Agro Export Nigeria Ltd,France,2020-07-14,347,11714.81,2929.83,4065039.07,Lagos,Sea,34322401.782299995,France,48.856614,2.352221
Cashew,Golden Farms Nigeria Limited,Sweden,2022-10-13,238,31839.65,8488.97,7577836.7,Lagos,Sea,270285833.6605,Sweden,59.334732,18.057936
Rubber,Greenfield Agro Exporters Nigeria Limited,Netherlands,2023-09-24,246,39938.99,9327.05,9824991.54,Lagos,Sea,372512956.6794999,Netherlands,52.377956,4.897976
Cocoa,Solid Agro Nigeria Limited,Sweden,2022-06-09,930,40089.03,8651.12,37282797.9,Port Harcourt,Sea,346815009.21360004,Sweden,59.334732,18.057936
Palm Oil,Agro Allied Exporters Nigeria Limited,Sweden,2023-07-03,218,34380.18,5264.59,7494879.24,Lagos,Sea,180997551.8262,Sweden,59.334732,18.057936
Cocoa,Agro Allied Exporters Nigeria Limited,Spain,2023-02-23,981,39948.71,5611.36,39189684.51,Warri,Sea,224166593.34559998,Spain,40.463831,-3.749225
Cocoa,Solid Agro Nigeria Limited,Germany,2020-10-07,449,22573.52,5849.58,10135510.48,Lagos,Sea,132045611.1216,Germany,51.165691,10.451526
Sesame,Agro Export Nigeria Ltd,Austria,2020-11-17,256,34710.58,6530.19,8885908.48,Lagos,Sea,226666682.4102,Austria,47.516236,14.550072
Cashew,Nigeria Agro Export Company,Belgium,2021-10-25,309,36171.2,5485.99,11176900.8,Lagos,Sea,198434841.48799998,Belgium,50.508308,4.351728
Plantain,Greenfield Agro Exporters Nigeria Limited,Italy,2022-04-11,316,33608.72,8153.51,10620355.52,Port Harcourt,Sea,274029034.6072,Italy,41.890238,12.496365
Ginger,Farmgate Nigeria Limited,Netherlands,2022-12-30,519,46462.39,7563.66,24113980.41,Calabar,Sea,351425720.7474,Netherlands,52.377956,4.897976
Cashew,Nigeria Agro Export Company,Denmark,2020-11-29,987,38561.5,9018.41,38060200.5,Lagos,Sea,347763417.215,Denmark,56.2563,9.568083
Ginger,Agriplus Nigeria Limited,Netherlands,2022-01-21,536,10387.59,9458.22,5567748.24,Lagos,Sea,98248111.48979999,Netherlands,52.377956,4.897976
Cocoa,Greenfield Agro Exporters Nigeria Limited,Netherlands,2023-10-12,997,32753.28,8951.58,32655020.16,Calabar,Sea,293193606.1824,Netherlands,52.377956,4.897976
Rubber,Prime Agro Exports Nigeria Limited,Sweden,2023-03-26,408,39571.27,5584.52,16145078.16,Lagos,Sea,220986548.7404,Sweden,59.334732,18.057936
Rubber,Golden Farms Nigeria Limited,Belgium,2020-09-30,227,14985.53,2169.04,3401715.31,Lagos,Sea,32504213.9912,Belgium,50.508308,4.351728
Cocoa,Agro Allied Exporters Nigeria Limited,Germany,2022-11-25,273,29358.38,5452.34,8014837.74,Warri,Sea,160071869.6092,Germany,51.165691,10.451526
Cashew,Greenfield Agro Exporters Nigeria Limited,Austria,2023-01-09,494,30668.78,5725.02,15150377.32,Lagos,Sea,175579378.8756,Austria,47.516236,14.550072
Palm Oil,Farmgate Nigeria Limited,Italy,2021-10-10,537,48105.59,5191.38,25832701.83,Lagos,Sea,249734397.81419998,Italy,41.890238,12.496365
Cashew,Nigerian Export Promotion Council (NEPC),Italy,2021-12-28,360,25462.65,9477.39,9166554.0,Lagos,Sea,241319464.4835,Italy,41.890238,12.496365
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Belgium,2020-07-20,698,36248.77,3758.47,25301641.46,Lagos,Sea,136239914.58189997,Belgium,50.508308,4.351728
Palm Oil,Prime Agro Exports Nigeria Limited,Sweden,2023-01-08,988,28860.1,3599.16,28513778.8,Port Harcourt,Sea,103872117.51599999,Sweden,59.334732,18.057936
Cocoa,Agro Allied Exporters Nigeria Limited,Denmark,2020-04-24,482,34497.66,2071.13,16627872.12,Port Harcourt,Sea,71449138.5558,Denmark,56.2563,9.568083
Sesame,Agro Allied Exporters Nigeria Limited,Austria,2023-07-10,933,21358.84,5191.57,19927797.72,Lagos,Sea,110885912.9788,Austria,47.516236,14.550072
Cashew,Agro Export Nigeria Ltd,France,2023-05-09,409,48643.45,3745.48,19895171.05,Lagos,Sea,182193069.10599998,France,48.856614,2.352221
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Sweden,2020-09-11,187,26876.43,7122.88,5025892.41,Port Harcourt,Sea,191437585.7184,Sweden,59.334732,18.057936
Cocoa,Agriplus Nigeria Limited,Spain,2022-07-02,640,37592.2,7882.03,24059008.0,Lagos,Sea,296302848.16599995,Spain,40.463831,-3.749225
Ginger,Agro Allied Exporters Nigeria Limited,Spain,2021-04-22,985,22041.82,9336.12,21711192.7,Port Harcourt,Sea,205785076.53840002,Spain,40.463831,-3.749225
Cocoa,Nigeria Agro Export Company,France,2022-03-17,746,11537.24,4261.71,8606781.04,Calabar,Sea,49168371.0804,France,48.856614,2.352221
Cassava,Golden Farms Nigeria Limited,Netherlands,2021-08-06,184,11548.45,4562.51,2124914.8,Port Harcourt,Sea,52689918.609500006,Netherlands,52.377956,4.897976
Palm Oil,Nigerian Export Promotion Council (NEPC),Italy,2023-02-12,610,39943.95,7608.7,24365809.5,Lagos,Sea,303921532.36499995,Italy,41.890238,12.496365
Rubber,Nigeria Agro Export Company,Spain,2020-04-30,945,20163.08,5019.62,19054110.6,Lagos,Sea,101210999.6296,Spain,40.463831,-3.749225
Cocoa,Farmgate Nigeria Limited,Sweden,2021-03-23,864,40976.45,3472.61,35403652.8,Lagos,Sea,142295230.0345,Sweden,59.334732,18.057936
Rubber,Agro Allied Exporters Nigeria Limited,Italy,2021-11-08,346,45825.21,2333.75,15855522.66,Warri,Sea,106944583.83749999,Italy,41.890238,12.496365
Plantain,Golden Farms Nigeria Limited,Italy,2020-08-16,617,11446.76,6752.01,7062650.92,Calabar,Sea,77288637.9876,Italy,41.890238,12.496365
Cashew,Agro Export Nigeria Ltd,Spain,2020-07-03,511,28130.25,9295.18,14374557.75,Lagos,Sea,261475737.19500002,Spain,40.463831,-3.749225
Cassava,Prime Agro Exports Nigeria Limited,Belgium,2021-08-29,493,26013.72,5430.98,12824763.96,Port Harcourt,Sea,141279993.0456,Belgium,50.508308,4.351728
Ginger,Agro Export Nigeria Ltd,Germany,2021-02-07,554,40655.79,3828.59,22523307.66,Port Harcourt,Sea,155654351.0361,Germany,51.165691,10.451526
Sesame,Nigeria Agro Export Company,France,2020-05-24,594,47688.67,9913.49,28327069.98,Lagos,Sea,472761153.1583,France,48.856614,2.352221
Ginger,Farmgate Nigeria Limited,Netherlands,2021-01-29,307,20303.59,7637.18,6233202.13,Lagos,Sea,155062171.4762,Netherlands,52.377956,4.897976
Cashew,Agriplus Nigeria Limited,Switzerland,2021-06-17,456,21633.6,4135.44,9864921.6,Calabar,Sea,89464454.78399998,Switzerland,46.818188,8.2275
Plantain,Nigeria Agro Export Company,Spain,2020-12-25,363,21256.72,4413.29,7716189.36,Lagos,Sea,93812069.8088,Spain,40.463831,-3.749225
Cocoa,Nigeria Agro Export Company,Spain,2022-08-21,337,12898.06,2443.4,4346646.22,Lagos,Sea,31515119.804,Spain,40.463831,-3.749225
Cashew,Greenfield Agro Exporters Nigeria Limited,Germany,2022-04-08,253,10966.93,2635.2,2774633.29,Port Harcourt,Sea,28900053.935999997,Germany,51.165691,10.451526
Plantain,Prime Agro Exports Nigeria Limited,Sweden,2020-08-29,631,30503.36,9796.94,19247620.16,Lagos,Sea,298839587.7184,Sweden,59.334732,18.057936
Palm Oil,Agriplus Nigeria Limited,Austria,2023-08-30,227,18867.01,9051.29,4282811.27,Lagos,Sea,170770778.9429,Austria,47.516236,14.550072
Cashew,Nigeria Agro Export Company,Italy,2021-05-29,494,29181.06,2446.06,14415443.64,Lagos,Sea,71378623.6236,Italy,41.890238,12.496365
Sesame,Prime Agro Exports Nigeria Limited,Italy,2023-05-12,911,24589.63,5784.62,22401152.93,Calabar,Sea,142241665.4906,Italy,41.890238,12.496365
Cocoa,Agro Allied Exporters Nigeria Limited,Sweden,2023-02-18,172,19594.66,9712.0,3370281.52,Warri,Sea,190303337.92,Sweden,59.334732,18.057936
Ginger,Agro Export Nigeria Ltd,Austria,2021-06-09,651,10926.4,2904.18,7113086.4,Warri,Sea,31732232.351999998,Austria,47.516236,14.550072
Cashew,Farmgate Nigeria Limited,Austria,2021-04-21,238,28152.42,8234.85,6700275.96,Lagos,Sea,231830955.83699998,Austria,47.516236,14.550072
Cashew,Nigeria Agro Export Company,Italy,2021-05-25,112,37672.07,5265.33,4219271.84,Lagos,Sea,198355880.3331,Italy,41.890238,12.496365
Cocoa,Prime Agro Exports Nigeria Limited,Belgium,2020-08-31,118,22796.67,4784.42,2690007.06,Lagos,Sea,109068843.88139999,Belgium,50.508308,4.351728
Ginger,Nigeria Agro Export Company,Austria,2022-12-09,115,37857.65,2928.51,4353629.75,Port Harcourt,Sea,110866506.60150002,Austria,47.516236,14.550072
Plantain,Nigerian Export Promotion Council (NEPC),Germany,2021-10-08,999,20493.76,8990.87,20473266.24,Warri,Sea,184256731.9712,Germany,51.165691,10.451526
Rubber,Nigeria Agro Export Company,Germany,2020-01-14,189,32429.66,5579.11,6129205.74,Lagos,Sea,180928640.4026,Germany,51.165691,10.451526
Ginger,Farmgate Nigeria Limited,Spain,2020-06-28,371,15691.82,6331.62,5821665.22,Lagos,Sea,99354641.3484,Spain,40.463831,-3.749225
Palm Oil,Agro Allied Exporters Nigeria Limited,Spain,2021-07-30,367,41045.83,2057.84,15063819.61,Port Harcourt,Sea,84465750.80720001,Spain,40.463831,-3.749225
Sesame,Farmgate Nigeria Limited,Switzerland,2021-09-02,284,34203.29,5562.73,9713734.36,Lagos,Sea,190263667.38169998,Switzerland,46.818188,8.2275
Sesame,Prime Agro Exports Nigeria Limited,Switzerland,2022-08-16,484,19067.8,3327.57,9228815.2,Calabar,Sea,63449439.246,Switzerland,46.818188,8.2275
Ginger,Agro Export Nigeria Ltd,Denmark,2023-04-02,671,47059.63,2744.68,31577011.73,Port Harcourt,Sea,129163625.26839998,Denmark,56.2563,9.568083
Rubber,Golden Farms Nigeria Limited,Belgium,2021-11-25,671,23316.71,3376.13,15645512.41,Lagos,Sea,78720244.1323,Belgium,50.508308,4.351728
Cashew,Nigeria Agro Export Company,Italy,2020-09-05,604,26272.25,3836.47,15868439.0,Lagos,Sea,100792698.9575,Italy,41.890238,12.496365
Palm Oil,Solid Agro Nigeria Limited,Netherlands,2020-08-04,390,42865.76,8235.34,16717646.4,Lagos,Sea,353014107.9584,Netherlands,52.377956,4.897976
Cashew,Nigerian Export Promotion Council (NEPC),Switzerland,2020-05-30,444,25730.68,5539.83,11424421.92,Lagos,Sea,142543592.9844,Switzerland,46.818188,8.2275
Sesame,Agriplus Nigeria Limited,Spain,2023-11-25,667,20963.97,8605.95,13982967.99,Calabar,Sea,180414877.62150002,Spain,40.463831,-3.749225
Rubber,Agriplus Nigeria Limited,Italy,2022-07-13,272,13913.4,8925.23,3784444.8,Lagos,Sea,124180295.08199999,Italy,41.890238,12.496365
Cocoa,Farmgate Nigeria Limited,Spain,2022-03-23,340,26117.99,2018.73,8880116.6,Lagos,Sea,52725169.952700004,Spain,40.463831,-3.749225
Ginger,Agro Allied Exporters Nigeria Limited,Denmark,2022-09-02,359,39185.03,5876.48,14067425.77,Warri,Sea,230270045.0944,Denmark,56.2563,9.568083
Cassava,Agro Export Nigeria Ltd,Italy,2020-05-13,895,44627.31,6484.53,39941442.45,Calabar,Sea,289387130.5143,Italy,41.890238,12.496365
Rubber,Agro Allied Exporters Nigeria Limited,Netherlands,2022-08-26,805,18006.64,5923.04,14495345.2,Port Harcourt,Sea,106654048.9856,Netherlands,52.377956,4.897976
Cassava,Prime Agro Exports Nigeria Limited,Switzerland,2020-09-10,711,33178.93,7017.84,23590219.23,Lagos,Sea,232844422.1112,Switzerland,46.818188,8.2275
Rubber,Farmgate Nigeria Limited,Netherlands,2023-08-04,785,19604.0,4682.57,15389140.0,Lagos,Sea,91797102.28,Netherlands,52.377956,4.897976
Sesame,Prime Agro Exports Nigeria Limited,Germany,2022-04-20,573,25825.9,5873.67,14798240.7,Lagos,Sea,151692814.053,Germany,51.165691,10.451526
Ginger,Prime Agro Exports Nigeria Limited,Austria,2022-04-17,329,37602.34,5086.95,12371169.86,Lagos,Sea,191281223.46299997,Austria,47.516236,14.550072
Rubber,Greenfield Agro Exporters Nigeria Limited,Germany,2020-01-30,547,40318.72,3455.24,22054339.84,Calabar,Sea,139310854.0928,Germany,51.165691,10.451526
Sesame,Nigeria Agro Export Company,Belgium,2020-02-09,346,45875.11,3490.75,15872788.06,Lagos,Sea,160138540.23250002,Belgium,50.508308,4.351728
Cocoa,Agro Allied Exporters Nigeria Limited,Denmark,2021-10-01,815,12663.48,6749.3,10320736.2,Port Harcourt,Sea,85469625.564,Denmark,56.2563,9.568083
Plantain,Golden Farms Nigeria Limited,Belgium,2022-08-09,386,21185.94,4796.95,8177772.84,Lagos,Sea,101627894.88299999,Belgium,50.508308,4.351728
Sesame,Agriplus Nigeria Limited,Belgium,2020-03-15,558,42069.64,4852.43,23474859.12,Lagos,Sea,204139983.2252,Belgium,50.508308,4.351728
Cashew,Greenfield Agro Exporters Nigeria Limited,Spain,2022-07-20,275,18649.39,2111.99,5128582.25,Lagos,Sea,39387325.18609999,Spain,40.463831,-3.749225
Plantain,Agro Export Nigeria Ltd,Sweden,2021-05-26,359,38635.31,6945.16,13870076.29,Lagos,Sea,268328409.5996,Sweden,59.334732,18.057936
Cocoa,Agriplus Nigeria Limited,Sweden,2023-06-07,540,45317.85,7712.76,24471639.0,Warri,Sea,349525700.766,Sweden,59.334732,18.057936
Cashew,Nigerian Export Promotion Council (NEPC),Denmark,2023-01-24,245,22058.15,9141.05,5404246.75,Port Harcourt,Sea,201634652.0575,Denmark,56.2563,9.568083
Plantain,Greenfield Agro Exporters Nigeria Limited,Austria,2023-03-23,151,29521.86,9423.51,4457800.86,Lagos,Sea,278199542.9286,Austria,47.516236,14.550072
Cocoa,Prime Agro Exports Nigeria Limited,Sweden,2021-06-03,157,11352.41,6556.99,1782328.37,Lagos,Sea,74437638.8459,Sweden,59.334732,18.057936
Sesame,Agro Export Nigeria Ltd,Italy,2021-03-04,711,30663.26,3202.33,21801577.86,Lagos,Sea,98193877.3958,Italy,41.890238,12.496365
Rubber,Agro Allied Exporters Nigeria Limited,Netherlands,2020-06-13,340,12752.48,2678.21,4335843.2,Lagos,Sea,34153819.4608,Netherlands,52.377956,4.897976
Cassava,Farmgate Nigeria Limited,Italy,2023-03-09,115,45869.9,7995.95,5275038.5,Lagos,Sea,366773426.90500003,Italy,41.890238,12.496365
Cashew,Nigeria Agro Export Company,Belgium,2020-03-31,627,34746.28,9410.62,21785917.56,Lagos,Sea,326984037.4936,Belgium,50.508308,4.351728
Plantain,Agro Allied Exporters Nigeria Limited,Switzerland,2020-08-25,844,34836.78,2564.43,29402242.32,Lagos,Sea,89336483.73539999,Switzerland,46.818188,8.2275
Rubber,Golden Farms Nigeria Limited,Denmark,2023-05-02,476,46857.65,3468.63,22304241.4,Lagos,Sea,162531850.51950002,Denmark,56.2563,9.568083
Cocoa,Greenfield Agro Exporters Nigeria Limited,Sweden,2022-10-01,199,46862.07,7340.8,9325551.93,Calabar,Sea,344005083.45600003,Sweden,59.334732,18.057936
Cashew,Prime Agro Exports Nigeria Limited,France,2021-12-24,279,13571.23,9897.25,3786373.17,Calabar,Sea,134317856.1175,France,48.856614,2.352221
Cocoa,Agriplus Nigeria Limited,Italy,2020-12-14,332,42678.9,2935.51,14169394.8,Lagos,Sea,125284337.73900001,Italy,41.890238,12.496365
Cassava,Greenfield Agro Exporters Nigeria Limited,Germany,2023-12-30,769,32821.57,8150.57,25239787.33,Lagos,Sea,267514503.7949,Germany,51.165691,10.451526
Rubber,Nigeria Agro Export Company,Sweden,2021-02-04,413,47019.51,3971.94,19419057.63,Lagos,Sea,186758672.5494,Sweden,59.334732,18.057936
Cashew,Greenfield Agro Exporters Nigeria Limited,Switzerland,2023-05-23,221,49351.36,5461.08,10906650.56,Lagos,Sea,269511725.0688,Switzerland,46.818188,8.2275
Plantain,Farmgate Nigeria Limited,Netherlands,2022-08-26,103,12852.2,8992.5,1323776.6,Lagos,Sea,115573408.5,Netherlands,52.377956,4.897976
Palm Oil,Agro Export Nigeria Ltd,Belgium,2023-11-17,936,17721.41,9564.42,16587239.76,Lagos,Sea,169495008.2322,Belgium,50.508308,4.351728
Sesame,Nigerian Export Promotion Council (NEPC),France,2021-10-05,762,31063.94,8486.77,23670722.28,Lagos,Sea,263632514.0738,France,48.856614,2.352221
Cassava,Nigeria Agro Export Company,France,2021-04-30,377,38436.41,7116.02,14490526.57,Lagos,Sea,273514262.2882,France,48.856614,2.352221
Cashew,Solid Agro Nigeria Limited,France,2020-07-06,396,28963.42,9765.76,11469514.32,Calabar,Sea,282849808.4992,France,48.856614,2.352221
Sesame,Agro Export Nigeria Ltd,Austria,2023-03-16,810,25588.62,3915.42,20726782.2,Port Harcourt,Sea,100190194.5204,Austria,47.516236,14.550072
Cocoa,Agro Allied Exporters Nigeria Limited,Sweden,2020-06-14,166,33789.42,7069.44,5609043.72,Lagos,Sea,238872277.32479998,Sweden,59.334732,18.057936
Sesame,Agro Export Nigeria Ltd,Belgium,2020-02-25,613,24452.58,6241.25,14989431.54,Lagos,Sea,152614664.925,Belgium,50.508308,4.351728
Rubber,Solid Agro Nigeria Limited,Sweden,2020-09-04,567,20951.06,4547.67,11879251.02,Lagos,Sea,95278507.0302,Sweden,59.334732,18.057936
Plantain,Golden Farms Nigeria Limited,Netherlands,2021-10-03,630,33495.61,4141.31,21102234.3,Lagos,Sea,138715704.6491,Netherlands,52.377956,4.897976
Cashew,Agro Export Nigeria Ltd,Belgium,2021-02-08,779,41434.9,4902.39,32277787.1,Lagos,Sea,203130039.411,Belgium,50.508308,4.351728
Cocoa,Farmgate Nigeria Limited,Netherlands,2021-10-02,310,27530.43,2895.68,8534433.3,Lagos,Sea,79719315.5424,Netherlands,52.377956,4.897976
Plantain,Prime Agro Exports Nigeria Limited,Belgium,2023-09-02,755,25170.32,6920.42,19003591.6,Lagos,Sea,174189185.9344,Belgium,50.508308,4.351728
Ginger,Greenfield Agro Exporters Nigeria Limited,Denmark,2021-11-02,775,33127.43,2179.18,25673758.25,Port Harcourt,Sea,72190632.9074,Denmark,56.2563,9.568083
Plantain,Agro Allied Exporters Nigeria Limited,Spain,2021-06-04,474,10811.43,3362.61,5124617.82,Lagos,Sea,36354622.632300004,Spain,40.463831,-3.749225
Palm Oil,Agriplus Nigeria Limited,Italy,2023-03-30,147,21580.37,5867.99,3172314.39,Lagos,Sea,126633395.3563,Italy,41.890238,12.496365
Cassava,Prime Agro Exports Nigeria Limited,Sweden,2020-05-02,662,31310.98,6516.4,20727868.76,Lagos,Sea,204034870.072,Sweden,59.334732,18.057936
Cocoa,Agro Export Nigeria Ltd,Belgium,2023-07-29,283,24034.1,8798.82,6801650.3,Lagos,Sea,211471719.762,Belgium,50.508308,4.351728
Palm Oil,Prime Agro Exports Nigeria Limited,Sweden,2021-03-03,676,22251.72,5992.39,15042162.72,Lagos,Sea,133340984.41080001,Sweden,59.334732,18.057936
Cocoa,Golden Farms Nigeria Limited,Germany,2023-07-18,948,14062.61,7842.17,13331354.28,Warri,Sea,110281378.26370001,Germany,51.165691,10.451526
Cassava,Prime Agro Exports Nigeria Limited,Netherlands,2020-08-11,158,24848.97,5426.09,3926137.26,Port Harcourt,Sea,134832747.62730002,Netherlands,52.377956,4.897976
Cassava,Farmgate Nigeria Limited,Germany,2022-03-09,907,17899.88,6976.49,16235191.16,Lagos,Sea,124878333.8212,Germany,51.165691,10.451526
Sesame,Prime Agro Exports Nigeria Limited,Italy,2023-08-13,737,19643.3,9374.93,14477112.1,Lagos,Sea,184154562.469,Italy,41.890238,12.496365
Cassava,Agro Export Nigeria Ltd,France,2020-08-10,736,19997.9,8920.82,14718454.4,Lagos,Sea,178397666.278,France,48.856614,2.352221
Cocoa,Golden Farms Nigeria Limited,Belgium,2020-08-17,167,24405.81,5557.46,4075770.27,Lagos,Sea,135634312.84260002,Belgium,50.508308,4.351728
Cashew,Prime Agro Exports Nigeria Limited,Austria,2022-05-17,603,25715.79,9586.46,15506621.37,Port Harcourt,Sea,246523392.2034,Austria,47.516236,14.550072
Rubber,Golden Farms Nigeria Limited,Spain,2023-09-25,576,49473.14,6506.39,28496528.64,Lagos,Sea,321891543.3646,Spain,40.463831,-3.749225
Rubber,Agro Allied Exporters Nigeria Limited,Italy,2021-07-26,696,40906.92,5413.24,28471216.32,Lagos,Sea,221438975.6208,Italy,41.890238,12.496365
Cassava,Farmgate Nigeria Limited,Belgium,2020-02-21,312,29465.29,8310.14,9193170.48,Lagos,Sea,244860685.0406,Belgium,50.508308,4.351728
Cocoa,Prime Agro Exports Nigeria Limited,Austria,2023-01-21,906,32575.54,9617.59,29513439.24,Lagos,Sea,313298187.7486,Austria,47.516236,14.550072
Cashew,Solid Agro Nigeria Limited,Spain,2023-06-01,290,40212.78,6892.54,11661706.2,Port Harcourt,Sea,277168194.6612,Spain,40.463831,-3.749225
Palm Oil,Solid Agro Nigeria Limited,Austria,2021-02-18,292,27482.77,3727.66,8024968.84,Lagos,Sea,102446422.4182,Austria,47.516236,14.550072
Sesame,Agro Allied Exporters Nigeria Limited,Austria,2022-07-27,615,29388.41,4431.2,18073872.15,Lagos,Sea,130225922.39199999,Austria,47.516236,14.550072
Rubber,Farmgate Nigeria Limited,Switzerland,2023-08-15,893,13305.27,7510.66,11881606.11,Warri,Sea,99931359.1782,Switzerland,46.818188,8.2275
Cassava,Solid Agro Nigeria Limited,Switzerland,2021-03-26,304,40982.46,9884.64,12458667.84,Lagos,Sea,405096863.4144,Switzerland,46.818188,8.2275
Sesame,Golden Farms Nigeria Limited,France,2022-08-17,856,38044.13,2728.58,32565775.28,Lagos,Sea,103806452.23539999,France,48.856614,2.352221
Palm Oil,Agro Allied Exporters Nigeria Limited,Netherlands,2020-01-30,595,30005.57,7039.46,17853314.15,Lagos,Sea,211223009.7922,Netherlands,52.377956,4.897976
Cassava,Solid Agro Nigeria Limited,Belgium,2020-06-26,442,18782.89,5559.47,8302037.38,Port Harcourt,Sea,104422913.4683,Belgium,50.508308,4.351728
Sesame,Nigeria Agro Export Company,Austria,2020-07-10,223,38450.54,9971.93,8574470.42,Lagos,Sea,383426093.34220004,Austria,47.516236,14.550072
Palm Oil,Agro Export Nigeria Ltd,Netherlands,2020-05-20,316,17819.75,9927.8,5631041.0,Lagos,Sea,176910914.04999998,Netherlands,52.377956,4.897976
Cocoa,Agriplus Nigeria Limited,Germany,2023-04-01,366,37718.55,3056.13,13804989.3,Lagos,Sea,115272792.21150002,Germany,51.165691,10.451526
Rubber,Nigerian Export Promotion Council (NEPC),Sweden,2023-02-05,196,39859.2,7877.05,7812403.2,Lagos,Sea,313972911.35999995,Sweden,59.334732,18.057936
Cocoa,Greenfield Agro Exporters Nigeria Limited,Spain,2021-08-07,232,40443.45,8390.75,9382880.4,Port Harcourt,Sea,339350878.0875,Spain,40.463831,-3.749225
Cocoa,Farmgate Nigeria Limited,France,2020-10-29,181,42649.85,4580.52,7719622.85,Lagos,Sea,195358490.92200002,France,48.856614,2.352221
Cocoa,Agro Export Nigeria Ltd,Sweden,2020-02-03,990,36777.32,8027.19,36409546.8,Lagos,Sea,295218535.3308,Sweden,59.334732,18.057936
Cassava,Agro Allied Exporters Nigeria Limited,Italy,2023-04-14,401,29722.65,9701.73,11918782.65,Lagos,Sea,288361125.1845,Italy,41.890238,12.496365
Ginger,Agriplus Nigeria Limited,Spain,2021-07-06,631,13405.98,9333.15,8459173.38,Lagos,Sea,125120022.23699999,Spain,40.463831,-3.749225
